,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Price in EUR
7396,Center console boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2020,7.09,2.53,PVC,France,57,64800
7399,Flybridge,Corvette Cruisers power boats,"Used boat,Diesel",1994,10.0,3.96,PVC,United,79,69620
7400,Sport Boat,Ayros power boats,"Display Model,Unleaded",2020,6.99,2.55,GRP,Switzerland,130,70624
7401,Sport Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.48,2.46,GRP,Switzerland,114,70623
7402,Sport Boat,AMT power boats,new boat from stock,2019,6.9,2.6,GRP,Switzerland,157,70599
7403,Sport Boat,AMT power boats,new boat from stock,2019,6.9,2.6,GRP,Switzerland,133,70599
7404,Motor Yacht,Ocqueteau power boats,"new boat from stock,Unleaded",2019,7.8,2.73,GRP,Switzerland,177,70599
7405,Cabin Boat,Parker power boats,"Used boat,Unleaded",2017,6.95,2.55,GRP,Switzerland,432,70599
7406,Sport Boat,IRON power boats,new boat on order,2020,7.12,2.44,GRP,Germany,126,64599
7408,Pilothouse,Parker power boats,"new boat from stock,Unleaded",2019,7.9,2.9,GRP,Germany,54,64539
7411,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2017,7.9,2.74,PVC,United,81,68902
7413,Motor Yacht,Bavaria power boats,Used boat,2010,10.4,3.45,GRP,Croatia,169,64000
7415,Motor Yacht,Shiren power boats,Used boat,2016,7.98,2.98,GRP,Spain,45,64000
7416,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,10.0,3.0,GRP,Croatia,183,64000
7418,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,7.99,2.8,PVC,France,101,64000
7419,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,10.4,3.45,GRP,Croatia,194,64000
7420,Motor Yacht,Galeon power boats,"Used boat,Diesel",2000,9.8,3.0,GRP,Netherlands,98,64000
7422,Motor Yacht,Sessa power boats,"Used boat,Diesel",2004,10.6,3.53,PVC,Spain,117,64000
7423,Motor Yacht,Innovazioni e Progetti power boats,"Used boat,Diesel",2002,10.6,3.54,GRP,Croatia,299,63999
7424,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.48,2.5,PVC,Spain,82,63990
7425,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,6.55,2.6,GRP,Germany,35,63950
7426,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.23,2.4,GRP,Germany,95,63900
7427,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.82,2.45,GRP,Switzerland,274,69730
7429,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",2005,5.69,2.18,Wood,Switzerland,293,69185
7430,Sport Boat,Bavaria power boats,"Used boat,Unleaded",2007,10.0,2.6,GRP,Switzerland,597,69185
7431,Motor Yacht,Larson power boats,"Used boat,Unleaded",2013,8.57,2.68,GRP,Switzerland,665,69690
7432,Cabin Boat,Faeton power boats,"Used boat,Diesel",2014,8.3,2.94,GRP,Switzerland,444,69690
7434,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,5.94,2.54,GRP,Germany,118,63685
7435,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1986,6.86,2.35,Wood,Switzerland,225,69488
7436,Cabin Boat,Eolo power boats,"new boat from stock,Unleaded",2019,6.5,2.55,GRP,Germany,122,63530
7437,"Classic,Motor Yacht",Grand Banks power boats,"Used boat,Diesel",1972,10.8,3.71,Wood,Spain,204,63500
7439,Sport Boat,IRON power boats,new boat on order,2020,7.67,2.44,GRP,Germany,48,63499
7440,Pilothouse,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.42,2.79,PVC,United,20,68226
7441,Sport Boat,Kelt power boats,Used boat,2009,8.8,3.19,Plastic,Germany,105,63000
7442,Motor Yacht,Fiart Mare power boats,"Used boat,Diesel",1999,9.99,3.1,GRP,Italy,112,63000
7445,Trawler,Aquanaut power boats,Used boat,1996,10.5,3.5,Steel,Netherlands,141,62995
7446,Center console boat,Barro power boats,"Display Model,Unleaded",2019,6.0,2.2,Aluminium,Switzerland,107,68680
7447,Wakeboard/Wakesurf,MasterCraft power boats,"Used boat,Unleaded",2010,7.87,2.9,GRP,Switzerland,631,68680
7448,"Cabin Boat,Motor Yacht",Scand power boats,"Used boat,Diesel",1992,8.6,3.28,GRP,Switzerland,348,68680
7449,Runabout,Bootbau Frei power boats,"Used boat,Unleaded",2015,6.5,2.2,Wood,Switzerland,234,68680
7452,Cabin Boat,Campion power boats,"new boat from stock,Unleaded",2020,7.69,2.59,GRP,Germany,36,62900
7453,Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.86,2.48,GRP,Germany,36,62900
7454,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2014,7.42,2.55,GRP,Germany,54,62900
7456,Deck Boat,Sessa power boats,Used boat,2012,7.56,2.64,GRP,Spain,62,62800
7458,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.48,PVC,France,18,62800
7459,Sport Boat,Crownline power boats,"Used boat,Unleaded",2010,7.5,2.59,Plastic,bodensee,652,62800
7461,Fishing Boat,Jeanneau power boats,new boat from stock,2020,7.45,2.54,GRP,Switzerland,286,62665
7463,Trawler,Pedro power boats,Used boat,1999,10.6,3.5,Steel,Netherlands,109,62500
7464,Deck Boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,8.1,2.53,PVC,France,42,62500
7465,Motor Yacht,BÃ©nÃ©teau power boats,"Used boat,Diesel",2001,10.8,3.48,PVC,France,47,62500
7467,Passenger boat,VBoats power boats,"new boat from stock,Unleaded",2020,8.5,2.8,Aluminium,Switzerland,190,68233
7468,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1972,5.8,2.1,Wood,Switzerland,34,68175
7469,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.37,2.52,PVC,France,32,62400
7470,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,7.48,2.53,GRP,Switzerland,219,62167
7472,Cabin Boat,Saver power boats,"new boat from stock,Unleaded",2020,7.5,2.55,GRP,Germany,244,61500
7473,Pilothouse,Jeanneau power boats,"new boat from stock,Electric",2020,6.55,2.54,GRP,Germany,73,61500
7474,Sport Boat,Bayliner power boats,"Used boat,Unleaded",2005,10.69,3.49,GRP,Netherlands,329,61500
7475,Sport Boat,Four Winns power boats,"new boat from stock,Unleaded",2020,5.79,2.41,GRP,Switzerland,192,67076
7477,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,8.6,2.98,GRP,Germany,39,61166
7478,Bowrider,Glastron power boats,"new boat from stock,Unleaded",2019,6.8,2.54,GRP,Switzerland,190,61107
7480,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,8.23,2.79,PVC,France,55,61000
7481,Motor Yacht,Holland Boat power boats,"Used boat,Diesel",1992,10.4,3.2,Steel,Netherlands,97,61000
7482,Sport Boat,Sessa power boats,"Used boat,Unleaded",2006,9.5,3.45,GRP,Spain,335,61000
7483,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,7.88,2.55,GRP,Germany,93,60999
7484,Deck Boat,Ranieri International power boats,"new boat from stock,Unleaded",2019,6.75,2.5,GRP,Italy,63,60900
7487,Bowrider,Regal power boats,"new boat from stock,Unleaded",2021,6.1,2.5,GRP,Germany,69,60753
7490,Sport Boat,Bayliner power boats,"new boat on order,Unleaded",2020,6.82,2.45,GRP,Germany,198,60580
7491,Flybridge,Sealine power boats,"Used boat,Unleaded",1994,10.4,3.2,GRP,Switzerland,297,65650
7494,Sport Boat,Chris Craft power boats,"Used boat,Unleaded",1961,7.5,2.3,Wood,Denmark,171,58500
7495,Cabin Boat,Larson power boats,"Used boat,Diesel",2011,9.0,2.7,GRP,PT,431,58500
7497,Runabout,Riva power boats,"Used boat,Unleaded",1990,10.28,3.33,GRP,Denmark,167,58370
7498,Cabin Boat,Inter power boats,"new boat from stock,Diesel",2001,9.0,2.9,GRP,Denmark,188,58370
7499,Flybridge,Birchwood power boats,"Used boat,Diesel",1998,10.41,3.73,PVC,United,101,64900
7503,Motor Yacht,Azimut power boats,Used boat,1982,11.47,3.95,GRP,Croatia,67,60000
7504,Flybridge,Dellapasqua power boats,"Used boat,Diesel",1987,11.37,3.75,GRP,Italy,116,60000
7505,Sport Boat,Cranchi power boats,Used boat,1990,12.11,3.8,GRP,Italy,87,60000
7508,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",2018,7.47,2.52,PVC,Spain,103,60000
7509,Flybridge,Azimut power boats,"Used boat,Diesel",1992,11.44,3.96,GRP,Italy,154,60000
7510,Motor Yacht,Nimbus power boats,"Used boat,Diesel",1990,9.2,3.2,PVC,France,102,60000
7513,Motor Yacht,Viper power boats,"Used boat,Unleaded",2013,7.25,2.57,GRP,Switzerland,298,60000
7514,Pilothouse,AluForce power boats,new boat from stock,2020,8.2,2.5,Aluminium,Germany,120,60000
7515,Flybridge,Neptunus power boats,"Used boat,Diesel",1976,13.1,4.0,Plastic,Netherlands,173,60000
7517,Motor Yacht,ManÃ² power boats,"Used boat,Unleaded",2008,11.0,3.2,GRP,Italy,166,60000
7519,Trawler,Pedro power boats,Used boat,1980,10.5,3.45,Steel,Netherlands,108,60000
7522,Trawler,Hollandia power boats,"Used boat,Diesel",1991,10.0,3.3,Steel,Germany,113,59990
7524,Trawler,Wim van der Valk power boats,"Used boat,Diesel",1983,12.4,3.7,Steel,Germany,105,59990
7525,Bowrider,Scarab power boats,"new boat from stock,Unleaded",2019,5.7,2.4,PVC,France,42,59990
7526,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.48,2.5,GRP,Germany,89,59990
7527,Motor Yacht,Scand power boats,"Used boat,Diesel",1995,10.7,3.45,GRP,Germany,155,59990
7528,Pilothouse,Jeanneau power boats,new boat from stock,2019,6.71,2.54,GRP,Switzerland,341,59963
7529,Cabin Boat,Stickl power boats,"new boat from stock,Electric",2020,6.6,2.1,GRP,Germany,150,59950
7531,"Cabin Boat,Motor Yacht",Sunseeker power boats,"Used boat,Diesel",1992,10.35,3.5,GRP,Netherlands,383,59950
7533,Motor Yacht,Bond Yachts power boats,"Used boat,Unleaded",2007,9.1,2.93,GRP,Italy,233,59900
7534,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2020,7.39,2.66,PVC,France,65,59900
7535,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2011,8.69,2.74,GRP,Spain,121,59900
7536,Flybridge,Vrijbuiter power boats,Used boat,1994,11.75,3.5,Steel,Netherlands,102,59900
7537,Trawler,Wicabo power boats,"Used boat,Diesel",1992,11.4,3.45,Steel,Germany,160,59900
7539,Motor Yacht,Fairline power boats,"Used boat,Diesel",1992,11.15,3.48,GRP,Germany,122,59900
7540,Cabin Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.84,2.4,GRP,Germany,66,59900
7541,Motor Yacht,Bege power boats,"Used boat,Diesel",2004,9.5,3.25,Steel,Germany,109,59900
7542,Trawler,Pedro power boats,Used boat,1991,10.5,3.3,Steel,Netherlands,75,59900
7543,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2019,6.69,2.54,GRP,Germany,187,59900
7544,Trawler,Pedro power boats,"Used boat,Diesel",1993,10.6,3.3,Steel,Netherlands,205,59900
7546,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat on order,Unleaded",2020,6.99,2.56,GRP,Germany,51,59850
7547,Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,Austria,79,59700
7548,Bowrider,Chaparral power boats,new boat from stock,2018,6.4,2.6,GRP,Switzerland,133,65145
7550,Sport Boat,Adex Nautica power boats,"Used boat,Diesel",2007,9.0,3.0,GRP,Croatia,112,59500
7553,Fishing Boat,San Remo power boats,"Used boat,Unleaded",2008,9.3,2.99,GRP,Portugal,56,59500
7554,Motor Yacht,Carver power boats,Used boat,1991,12.57,4.02,GRP,Netherlands,71,59500
7556,Pilothouse,Rhea power boats,"Used boat,Diesel",2011,7.3,3.0,PVC,France,175,59500
7558,Trawler,Valkkruiser power boats,Used boat,1981,10.85,3.6,Steel,Netherlands,152,59500
7560,Motor Yacht,Ilver power boats,"Used boat,Diesel",1995,11.3,3.5,GRP,Italy,110,59500
7561,Trawler,Pedro power boats,Used boat,1978,10.5,3.4,Steel,Netherlands,58,59500
7562,Bowrider,XO Boats power boats,"Used boat,Unleaded",2016,7.52,2.28,Aluminium,Germany,202,59500
7564,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2019,8.23,2.79,PVC,France,40,59500
7565,Fishing Boat,Rio power boats,"Used boat,Diesel",1992,9.6,3.28,GRP,Italy,74,59000
7566,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2002,7.62,2.74,GRP,Croatia,114,59000
7568,Flybridge,Center Craft power boats,Used boat,1982,11.27,3.7,GRP,Italy,64,59000
7569,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1996,11.9,3.6,GRP,Croatia,210,59000
7570,Flybridge,Riviera power boats,"Used boat,Diesel",1999,10.4,3.7,GRP,Spain,97,59000
7571,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1994,14.15,3.3,GRP,Germany,325,59000
7572,Motor Yacht,Bayliner power boats,"Used boat,Unleaded",2012,7.65,2.59,GRP,Croatia,162,59000
7573,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2004,8.8,2.74,GRP,Germany,141,59000
7576,Trawler,Zijlmans power boats,Used boat,1996,10.8,3.5,Steel,Netherlands,78,59000
7578,Deck Boat,Rhea power boats,"new boat from stock,Unleaded",2019,6.6,2.5,PVC,France,121,59000
7579,Fishing Boat,ARS Mare power boats,Used boat,1992,11.71,4.2,GRP,Italy,41,59000
7580,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2004,8.53,2.89,GRP,Germany,176,59000
7582,Motor Yacht,Succes power boats,Used boat,1991,10.5,3.45,Steel,Netherlands,72,59000
7583,Sport Boat,Maxum power boats,"Used boat,Unleaded",2008,9.12,3.0,PVC,France,99,59000
7586,Pilothouse,Hatteras power boats,"Used boat,Diesel",1974,11.27,4.26,PVC,France,67,59000
7587,Motor Yacht,Gobbi power boats,Used boat,2002,9.83,3.3,GRP,Italy,88,59000
7588,Center console boat,Jeanneau power boats,"Used boat,Unleaded",2019,6.98,2.52,PVC,France,66,59000
7589,Flybridge,Jeanneau power boats,"Used boat,Diesel",2006,9.76,3.16,PVC,France,68,59000
7591,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.5,2.53,PVC,France,24,59000
7596,Flybridge,Center Craft power boats,"Used boat,Diesel",1982,11.27,3.7,GRP,Italy,27,59000
7597,Sport Boat,Monterey power boats,"Used boat,Unleaded",2005,8.94,2.82,GRP,Spain,148,58995
7599,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.13,2.45,PVC,Spain,29,58940
7600,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,7.48,2.5,PVC,France,74,58900
7601,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2012,7.95,2.93,PVC,France,64,58900
7602,Pilothouse,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.48,2.5,PVC,France,45,58900
7605,Sport Boat,Bayliner power boats,"new boat from stock,Unleaded",2020,6.23,2.4,GRP,Germany,66,58850
7606,Motor Yacht,Master power boats,new boat on order,2020,7.7,3.1,GRP,France,105,58800
7609,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,6.0,2.0,PVC,Spain,64,58729
7610,Deck Boat,Sessa power boats,new boat from stock,2020,8.0,2.64,GRP,Italy,109,58700
7612,Runabout,Starcraft power boats,"new boat from stock,Unleaded",2020,6.49,2.49,GRP,Switzerland,171,63922
7613,Sport Boat,Nordkapp power boats,new boat from stock,2020,6.5,2.5,GRP,Switzerland,96,63910
7618,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2019,7.64,2.73,PVC,France,103,58500
7619,Motor Yacht,Valkkruiser power boats,Used boat,1988,10.94,3.55,Steel,Netherlands,53,58500
7620,Motor Yacht,Westwind power boats,"Used boat,Diesel",1981,14.35,3.97,Steel,Romania,225,58500
7622,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,7.26,2.48,PVC,France,143,58410
7623,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,7.37,2.52,PVC,France,88,58369
7624,Pilothouse,Ocqueteau power boats,new boat from stock,2018,7.26,2.74,PVC,United,66,62534
7625,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2005,9.84,3.2,GRP,Italy,234,58000
7628,Pontoon Boat,Ilver power boats,"Used boat,Diesel",1999,10.0,3.25,GRP,Italy,107,58000
7630,Motor Yacht,Salpa power boats,"Used boat,Diesel",2003,9.38,3.35,GRP,Italy,107,58000
7631,Motor Yacht,Tecnomarine power boats,"Used boat,Diesel",1989,12.8,4.0,GRP,Italy,307,58000
7632,Cabin Boat,Striker power boats,"Used boat,Diesel",1972,11.31,3.6,Aluminium,Germany,892,58000
7633,Motor Yacht,Bella power boats,"Used boat,Diesel",2001,8.25,2.6,GRP,Germany,478,58000
7634,Motor Yacht,Succes power boats,Used boat,1989,10.5,3.4,Steel,Netherlands,108,58000
7635,"Cabin Boat,Flybridge",Altair power boats,"Used boat,Diesel",2008,8.6,3.0,GRP,Italy,177,58000
7636,Sport Boat,Saver power boats,"new boat from stock,Unleaded",2020,7.75,2.55,GRP,Germany,177,57950
7640,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2018,6.99,6.96,PVC,France,166,57900
7641,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2004,8.72,2.89,GRP,Switzerland,535,63125
7642,"Classic,Runabout",Boesch power boats,"Used boat,Unleaded",1972,5.8,2.1,Wood,Switzerland,300,63125
7644,"Classic,Runabout",Boesch power boats,Used boat,1983,6.86,2.35,Wood,Switzerland,581,62620
7646,Sport Boat,XO Boats power boats,new boat from stock,2018,7.52,2.28,Aluminium,Germany,186,57500
7650,Motor Yacht,Mochi Craft power boats,"Used boat,Diesel",1991,9.9,3.6,GRP,Germany,436,57500
7652,Cabin Boat,Windy power boats,"Used boat,Unleaded",1987,9.8,2.93,GRP,Switzerland,318,62620
7653,Sport Boat,Galia power boats,"new boat from stock,Unleaded",2020,6.19,2.48,GRP,Switzerland,198,62620
7654,Flybridge,Princess power boats,"Used boat,Unleaded",1990,9.39,3.4,GRP,Switzerland,660,62620
7655,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2017,8.23,2.76,PVC,France,60,57000
7656,Pilothouse,BÃ©nÃ©teau power boats,Used boat,2016,8.03,2.78,PVC,France,65,57000
7657,Motor Yacht,Sessa power boats,"Used boat,Diesel",2004,10.0,3.0,PVC,Spain,210,57000
7658,Pilothouse,Quicksilver (Brunswick Marine) power boats,new boat on order,2020,8.88,2.99,GRP,Germany,75,56999
7659,Trawler,Valkkruiser power boats,Used boat,1982,12.0,3.8,Steel,Netherlands,64,56995
7662,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.31,2.52,GRP,Germany,38,56900
7663,Cabin Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.9,2.48,GRP,Germany,70,56900
7664,Sport Boat,Parker power boats,"Used boat,Unleaded",2017,7.46,2.55,PVC,France,90,56900
7668,Pilothouse,Hock power boats,"new boat from stock,Diesel",2015,7.15,2.5,GRP,Germany,70,56650
7670,Bowrider,Campion power boats,"new boat from stock,Unleaded",2020,2.48,6.4,GRP,Switzerland,209,61812
7673,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,5.94,2.54,GRP,Germany,116,56500
7674,Sport Boat,Regal power boats,"new boat from stock,Unleaded",2021,6.0,2.5,GRP,Switzerland,285,61689
7678,Cabin Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2020,6.99,2.55,GRP,Switzerland,256,61246
7679,Center console boat,Jeanneau power boats,"new boat on order,Unleaded",2020,9.12,2.98,GRP,Germany,62,56049
7682,Motor Yacht,De Boarnstream power boats,Used boat,1991,10.5,3.6,Steel,Germany,115,56000
7683,Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2001,9.6,2.98,GRP,Croatia,128,56000
7684,Motor Yacht,ACM Dufour power boats,"Used boat,Diesel",1997,9.41,2.95,GRP,Croatia,110,56000
7685,Runabout,Frauscher power boats,"new boat on order,Diesel",2009,6.86,2.25,GRP,Switzerland,562,60600
7688,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,Germany,69,55900
7689,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",2008,9.75,3.05,GRP,Spain,238,55900
7690,Center console boat,BÃ©nÃ©teau power boats,"new boat from stock,Unleaded",2020,6.41,2.48,Steel,France,27,55900
7691,Bowrider,Nordkapp power boats,"Used boat,Unleaded",2017,7.05,2.3,GRP,Germany,151,55900
7694,Pilothouse,Cranchi power boats,"Used boat,Diesel",2008,9.09,2.87,GRP,Switzerland,211,60499
7695,Launch,Maril power boats,"new boat from stock,Diesel",2020,6.4,2.6,GRP,Germany,68,55823
7696,Pilothouse,AMT power boats,"Used boat,Unleaded",2018,6.4,2.4,GRP,Switzerland,239,60930
7698,Sport Boat,Sea Ray power boats,new boat from stock,2020,5.97,2.54,GRP,Germany,88,55555
7699,Sport Boat,Damor power boats,"Used boat,Diesel",2014,8.0,3.0,GRP,Croatia,89,55500
7700,Motor Yacht,Starfisher power boats,"Used boat,Diesel",2007,7.48,2.98,GRP,Spain,34,55500
7703,Sport Boat,Cranchi power boats,"Used boat,Unleaded",2003,8.75,2.83,GRP,Switzerland,402,60095
7704,"Classic,Sport Boat",Boesch power boats,"Used boat,Unleaded",1963,6.4,2.22,Wood,Switzerland,531,60095
7705,Pilothouse,Fjord power boats,"Used boat,Unleaded",1998,10.0,3.16,GRP,Switzerland,320,60499
7706,Motor Yacht,Ibiza Boats power boats,"new boat from stock,Unleaded",2020,6.3,2.34,GRP,Switzerland,126,60499
7708,Sport Boat,Flipper power boats,"new boat from stock,Unleaded",2020,6.05,2.22,GRP,Switzerland,149,60488
7711,Runabout,Yamarin power boats,new boat from stock,2020,6.77,2.54,GRP,Germany,109,55290
7712,Bowrider,Bayliner power boats,"new boat from stock,Unleaded",2020,6.82,2.45,GRP,Switzerland,171,60135
7715,Pilothouse,Jeanneau power boats,Used boat,2007,7.5,2.94,GRP,Italy,117,55000
7716,Motor Yacht,Sessa power boats,"Used boat,Unleaded",2004,8.93,2.99,GRP,Italy,115,55000
7717,Cabin Boat,Menorquin power boats,"Used boat,Diesel",1991,8.53,2.93,Rubber,Spain,63,55000
7718,Pilothouse,Cramar power boats,"Used boat,Diesel",2008,9.8,3.05,GRP,Italy,240,55000
7720,Fishing Boat,Boston Whaler power boats,"Used boat,Diesel",1992,9.6,2.9,GRP,Italy,100,55000
7721,Cabin Boat,Rinker power boats,"Used boat,Unleaded",2007,7.47,2.59,GRP,Germany,148,55000
7722,Trawler,Babro power boats,"Used boat,Diesel",1988,11.3,3.6,Steel,France,67,55000
7723,Bowrider,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2016,7.64,2.66,PVC,Spain,111,55000
7724,Sport Boat,Chaparral power boats,Used boat,2010,8.84,2.9,GRP,Italy,129,55000
7725,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2008,8.15,2.59,GRP,Croatia,107,55000
7726,Motor Yacht,Doral power boats,"Used boat,Unleaded",2002,8.25,2.55,GRP,Germany,148,55000
7727,Motor Yacht,Airon Marine power boats,"Used boat,Diesel",2005,9.78,3.1,GRP,France,77,55000
7729,Motor Yacht,Innovazione&Progetti power boats,"Used boat,Unleaded",1998,11.24,3.54,GRP,Italy,107,55000
7730,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1990,13.14,3.08,GRP,Spain,121,55000
7731,Sport Boat,Grady White Boats power boats,"Used boat,Unleaded",2005,7.92,2.92,GRP,Italy,74,55000
7732,Sport Boat,Chaparral power boats,"Used boat,Unleaded",2006,8.84,2.9,GRP,Italy,79,55000
7733,Sport Boat,Boston Whaler power boats,Used boat,1990,9.3,3.6,GRP,Italy,41,55000
7734,Flybridge,Piantoni (IT) power boats,"Used boat,Diesel",1990,13.11,4.6,GRP,Italy,112,55000
7735,Pilothouse,Jeanneau power boats,Used boat,2016,7.5,2.81,GRP,Finland,45,55000
7736,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.86,2.48,Steel,France,82,55000
7737,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,6.86,2.48,Steel,France,31,55000
7741,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2012,8.37,2.98,PVC,France,66,55000
7743,Motor Yacht,Arp-Werft  power boats,"Used boat,Diesel",1958,12.0,3.6,Steel,Germany,194,55000
7744,"Center console boat,Sport Boat",White Shark power boats,"Used boat,Unleaded",2008,8.99,2.96,GRP,Calanova,159,55000
7745,Motor Yacht,Crownline power boats,"Used boat,Unleaded",2008,9.8,2.9,GRP,Italy,352,55000
7746,Motor Yacht,Cranchi power boats,"Used boat,Diesel",2002,9.96,3.5,GRP,Italy,71,55000
7748,"Classic,Runabout",Frauscher power boats,"Used boat,Unleaded",2007,6.06,2.2,GRP,Switzerland,920,59590
7749,"Cabin Boat,Classic,Motor Yacht",Storebro power boats,"Used boat,Diesel",1983,9.3,3.2,GRP,Switzerland,1054,59590
7750,Sport Boat,Sea Ray power boats,new boat from stock,2018,6.55,2.54,GRP,Germany,67,54950
7751,Sport Boat,Sunseeker power boats,"Used boat,Diesel",1992,11.2,3.16,PVC,Belgium,164,54900
7752,Pilothouse,Performance power boats,"Used boat,Unleaded",1996,8.98,2.68,GRP,Germany,219,54900
7754,Pilothouse,Wellcraft power boats,"new boat from stock,Unleaded",2019,5.59,2.44,PVC,France,24,54900
7755,Motor Yacht,Treffer power boats,Used boat,1997,9.5,3.1,Steel,Netherlands,39,54900
7756,Bowrider,Scarab power boats,"Used boat,Unleaded",2017,5.74,2.44,GRP,Germany,43,54900
7757,Cabin Boat,Campion power boats,"new boat from stock,Unleaded",2020,6.58,2.49,GRP,Germany,32,54900
7758,Trawler,Pedro power boats,"Used boat,Diesel",1991,10.3,3.3,Steel,Germany,142,54900
7759,Center console boat,Kelt power boats,"Used boat,Unleaded",2006,8.05,2.8,GRP,France,137,54900
7762,Pilothouse,Jeanneau power boats,new boat from stock,2019,6.68,2.51,PVC,United,41,58941
7763,Sport Boat,Cruisers Yachts power boats,"Used boat,Diesel",2006,9.32,3.1,PVC,United,118,58941
7764,Motor Yacht,Princess power boats,"Used boat,Diesel",1986,10.67,3.66,PVC,United,73,58941
7765,Motor Yacht,Corvette Cruisers power boats,"Used boat,Diesel",1986,10.0,3.96,PVC,United,44,58941
7768,Sport Boat,IRON power boats,new boat on order,2020,7.12,2.44,GRP,Germany,77,54699
7769,Bowrider,Sea Ray power boats,"new boat from stock,Unleaded",2020,6.55,2.54,GRP,Germany,90,54640
7770,Bowrider,Stingray power boats,new boat from stock,2019,6.0,2.39,GRP,Germany,190,54634
7772,Sport Boat,Stingray power boats,"Used boat,Unleaded",2013,6.99,2.52,GRP,Switzerland,493,59590
7773,Flybridge,Bayliner power boats,"Used boat,Diesel",1994,11.72,4.1,GRP,Switzerland,526,59590
