,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Price in EUR
3602,Motor Yacht,Sessa power boats,"Used boat,Diesel",2013,19.24,5.07,GRP,Italy,66,1180000
3604,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2015,18.3,4.7,GRP,Spain,57,1175000
3605,Motor Yacht,Fjord power boats,"new boat on order,Diesel",2020,16.36,4.79,PVC,France,141,1163760
3606,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2012,19.51,5.08,GRP,Croatia,27,1239000
3607,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2016,17.37,4.72,GRP,Spain,49,1237820
3608,Hardtop,Sunseeker power boats,"Used boat,Diesel",2016,18.24,4.7,GRP,Switzerland,161,1237820
3609,Flybridge,Apreamare power boats,"Used boat,Diesel",2013,19.4,5.6,GRP,Croatia,95,1150000
3612,Flybridge,B̩n̩teau power boats,Used boat,2019,18.35,4.88,PVC,Netherlands,68,1150000
3613,Flybridge,Jeanneau power boats,"Used boat,Diesel",2017,19.33,5.4,GRP,Croatia,66,1100000
3614,Flybridge,Mochi Craft power boats,"Used boat,Diesel",2010,19.63,6.13,GRP,Italy,92,1100000
3615,Motor Yacht,Mangusta power boats,"Used boat,Diesel",2008,25.07,5.9,GRP,Italy,97,1100000
3616,Trawler,Linssen power boats,"Used boat,Diesel",2017,17.8,5.13,Steel,Netherlands,134,1100000
3619,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2010,22.26,5.4,GRP,Spain,220,1100000
3620,Motor Yacht,Heesen Yachts power boats,Used boat,1989,28.2,6.4,Aluminium,Spain,228,1100000
3621,Motor Yacht,Cranchi power boats,new boat from stock,2017,17.2,4.85,GRP,Netherlands,98,1095500
3623,Motor Yacht,VanDutch power boats,Used boat,2018,16.48,4.5,GRP,Netherlands,97,1095000
3625,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2017,18.41,4.72,GRP,United,101,1174100
3626,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2006,25.18,6.19,GRP,United,84,1174100
3627,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2018,18.01,4.72,GRP,Turkey,65,1174100
3628,Flybridge,Ferretti power boats,"Used boat,Diesel",2005,22.0,5.0,GRP,Croatia,79,1090000
3629,Flybridge,Princess power boats,Used boat,2009,22.83,5.71,GRP,Latvia,60,1090000
3630,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,22.56,5.39,GRP,Montenegro,34,1168200
3631,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2014,19.2,5.12,GRP,Spain,42,1168200
3632,Flybridge,Sunseeker power boats,"Used boat,Diesel",2011,21.09,5.13,GRP,Croatia,39,1085000
3633,Motor Yacht,Cranchi power boats,"new boat on order,Diesel",2020,15.82,4.67,PVC,France,143,1084800
3634,Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2009,22.25,5.67,GRP,Turkey,59,1080000
